31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,,s5,Parse,,d5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,1,i,i,i,i,i,i,i,s,s,s,s,s,P,P,i,i,i,i,i,i,i,i,i,d,d,d,d,d,"Rd=add(Rs,#s16)"
ICLASS,P,MajOp,MinOp,s5,Parse,,t5,,d5,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,1,1,0,0,0,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=add(Rs,Rt)"
1,1,1,1,0,1,1,0,0,1,0,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=add(Rs,Rt):sat"
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,Rs,MajOp,MinOp,s5,Parse,,d5,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,0,1,1,0,0,0,i,s,s,s,s,s,P,P,i,i,i,i,i,i,i,i,i,d,d,d,d,d,"Rd=and(Rs,#s10)"
0,1,1,1,0,1,1,0,1,0,i,s,s,s,s,s,P,P,i,i,i,i,i,i,i,i,i,d,d,d,d,d,"Rd=or(Rs,#s10)"
ICLASS,P,MajOp,MinOp,s5,Parse,,t5,,d5,,,,,,,,,,,,,,,,,,,,,,,
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
1,1,1,1,0,0,0,1,0,0,0,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=and(Rs,Rt)"
1,1,1,1,0,0,0,1,0,0,1,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=or(Rs,Rt)"
1,1,1,1,0,0,0,1,0,1,1,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=xor(Rs,Rt)"
1,1,1,1,0,0,0,1,1,0,0,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=and(Rt,~Rs)"
1,1,1,1,0,0,0,1,1,0,1,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=or(Rt,~Rs)"
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,Rs,MajOp,,Parse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,P,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nop
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,Rs,MajOp,MinOp,s5,Parse,,d5,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,0,1,1,0,0,1,i,s,s,s,s,s,P,P,i,i,i,i,i,i,i,i,i,d,d,d,d,d,"Rd=sub(#s10,Rs)"
ICLASS,P,MajOp,MinOp,s5,Parse,,t5,,d5,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,1,1,0,0,1,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=sub(Rt,Rs)"
1,1,1,1,0,1,1,0,1,1,0,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=sub(Rt,Rs):sat"
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,Rs,MajOp,MinOp,s5,Parse,C,,d5,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,0,0,0,0,1,0,1,s,s,s,s,s,P,P,0,-,-,-,-,-,-,-,-,d,d,d,d,d,Rd=sxtb(Rs)
0,1,1,1,0,0,0,0,1,1,1,s,s,s,s,s,P,P,0,-,-,-,-,-,-,-,-,d,d,d,d,d,Rd=sxth(Rs)
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,Rs,MajOp,MinOp,x5,Parse,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,0,0,0,1,i,i,1,x,x,x,x,x,P,P,i,i,i,i,i,i,i,i,i,i,i,i,i,i,Rx.L=#u16
0,1,1,1,0,0,1,0,i,i,1,x,x,x,x,x,P,P,i,i,i,i,i,i,i,i,i,i,i,i,i,i,Rx.H=#u16
ICLASS,Rs,MajOp,MinOp,,Parse,,d5,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,0,0,0,i,i,-,i,i,i,i,i,P,P,i,i,i,i,i,i,i,i,i,d,d,d,d,d,Rd=#s16
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,Rs,MajOp,MinOp,s5,Parse,C,,d5,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,0,0,0,0,0,1,1,s,s,s,s,s,P,P,0,-,-,-,-,-,-,-,-,d,d,d,d,d,Rd=Rs
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,P,MajOp,MinOp,s5,Parse,,t5,,d5,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,1,1,0,0,0,0,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=vaddh(Rs,Rt)"
1,1,1,1,0,1,1,0,0,0,1,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=vaddh(Rs,Rt):sat"
1,1,1,1,0,1,1,0,0,1,1,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=vadduh(Rs,Rt):sat"
31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
ICLASS,P,MajOp,MinOp,s5,Parse,,t5,,d5,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,1,1,1,-,0,0,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=vavgh(Rs,Rt)"
1,1,1,1,0,1,1,1,-,0,1,s,s,s,s,s,P,P,-,t,t,t,t,t,-,-,-,d,d,d,d,d,"Rd=vavgh(Rs,Rt):rnd"
